"upper","lower","mid","n","rate","cumrate","s","s^2"
"0","5","2.5","0","0","0","0","0"
"5","10","7.5","1","0.471698113207547","0.471698113207547","7.5","56.25"
"10","15","12.5","0","0","0.471698113207547","0","0"
"15","20","17.5","0","0","0.471698113207547","0","0"
"20","25","22.5","0","0","0.471698113207547","0","0"
"25","30","27.5","1","0.471698113207547","0.943396226415094","27.5","756.25"
"30","35","32.5","7","3.30188679245283","4.24528301886792","227.5","7393.75"
"35","40","37.5","13","6.13207547169811","10.377358490566","487.5","18281.25"
"40","45","42.5","19","8.9622641509434","19.3396226415094","807.5","34318.75"
"45","50","47.5","38","17.9245283018868","37.2641509433962","1805","85737.5"
"50","55","52.5","40","18.8679245283019","56.1320754716981","2100","110250"
"55","60","57.5","36","16.9811320754717","73.1132075471698","2070","119025"
"60","65","62.5","35","16.5094339622642","89.622641509434","2187.5","136718.75"
"65","70","67.5","11","5.18867924528302","94.811320754717","742.5","50118.75"
"70","75","72.5","5","2.35849056603774","97.1698113207547","362.5","26281.25"
"75","80","77.5","3","1.41509433962264","98.5849056603774","232.5","18018.75"
"80","85","82.5","2","0.943396226415094","99.5283018867924","165","13612.5"
"85","90","87.5","1","0.471698113207547","100","87.5","7656.25"
"90","95","92.5","0","0","100","0","0"
"-","Total","-","212","100","-","11310","628225"
