"upper","lower","mid","n","rate","cumrate","s","s^2"
"0","5","2.5","0","0","0","0","0"
"5","10","7.5","0","0","0","0","0"
"10","15","12.5","0","0","0","0","0"
"15","20","17.5","0","0","0","0","0"
"20","25","22.5","0","0","0","0","0"
"25","30","27.5","0","0","0","0","0"
"30","35","32.5","0","0","0","0","0"
"35","40","37.5","7","3.00429184549356","3.00429184549356","262.5","9843.75"
"40","45","42.5","14","6.00858369098712","9.01287553648069","595","25287.5"
"45","50","47.5","38","16.3090128755365","25.3218884120172","1805","85737.5"
"50","55","52.5","60","25.7510729613734","51.0729613733906","3150","165375"
"55","60","57.5","38","16.3090128755365","67.381974248927","2185","125637.5"
"60","65","62.5","27","11.587982832618","78.9699570815451","1687.5","105468.75"
"65","70","67.5","27","11.587982832618","90.5579399141631","1822.5","123018.75"
"70","75","72.5","9","3.86266094420601","94.4206008583691","652.5","47306.25"
"75","80","77.5","8","3.43347639484979","97.8540772532189","620","48050"
"80","85","82.5","2","0.858369098712446","98.7124463519313","165","13612.5"
"85","90","87.5","3","1.28755364806867","100","262.5","22968.75"
"90","95","92.5","0","0","100","0","0"
"-","Total","-","233","100","-","13207.5","772306.25"
