"upper","lower","mid","n","rate","cumrate","s","s^2"
"0","5","2.5","0","0","0","0","0"
"5","10","7.5","0","0","0","0","0"
"10","15","12.5","0","0","0","0","0"
"15","20","17.5","0","0","0","0","0"
"20","25","22.5","0","0","0","0","0"
"25","30","27.5","0","0","0","0","0"
"30","35","32.5","0","0","0","0","0"
"35","40","37.5","4","1.9047619047619","1.9047619047619","150","5625"
"40","45","42.5","8","3.80952380952381","5.71428571428571","340","14450"
"45","50","47.5","29","13.8095238095238","19.5238095238095","1377.5","65431.25"
"50","55","52.5","51","24.2857142857143","43.8095238095238","2677.5","140568.75"
"55","60","57.5","44","20.952380952381","64.7619047619048","2530","145475"
"60","65","62.5","39","18.5714285714286","83.3333333333333","2437.5","152343.75"
"65","70","67.5","19","9.04761904761905","92.3809523809524","1282.5","86568.75"
"70","75","72.5","11","5.23809523809524","97.6190476190476","797.5","57818.75"
"75","80","77.5","4","1.9047619047619","99.5238095238095","310","24025"
"80","85","82.5","0","0","99.5238095238095","0","0"
"85","90","87.5","1","0.476190476190476","100","87.5","7656.25"
"90","95","92.5","0","0","100","0","0"
"-","Total","-","210","100","-","11990","699962.5"
