"upper","lower","mid","n","rate","cumrate","s","s^2"
"0","5","2.5","0","0","0","0","0"
"5","10","7.5","0","0","0","0","0"
"10","15","12.5","0","0","0","0","0"
"15","20","17.5","0","0","0","0","0"
"20","25","22.5","0","0","0","0","0"
"25","30","27.5","0","0","0","0","0"
"30","35","32.5","17","17","17","552.5","17956.25"
"35","40","37.5","27","27","44","1012.5","37968.75"
"40","45","42.5","23","23","67","977.5","41543.75"
"45","50","47.5","18","18","85","855","40612.5"
"50","55","52.5","7","7","92","367.5","19293.75"
"55","60","57.5","6","6","98","345","19837.5"
"60","65","62.5","1","1","99","62.5","3906.25"
"65","70","67.5","1","1","100","67.5","4556.25"
"70","75","72.5","0","0","100","0","0"
"75","80","77.5","0","0","100","0","0"
"80","85","82.5","0","0","100","0","0"
"85","90","87.5","0","0","100","0","0"
"90","95","92.5","0","0","100","0","0"
"-","Total","-","100","100","-","4240","185675"
