"upper","lower","mid","n","rate","cumrate","s","s^2"
"0","5","2.5","0","0","0","0","0"
"5","10","7.5","0","0","0","0","0"
"10","15","12.5","0","0","0","0","0"
"15","20","17.5","0","0","0","0","0"
"20","25","22.5","0","0","0","0","0"
"25","30","27.5","0","0","0","0","0"
"30","35","32.5","27","26.2135922330097","26.2135922330097","877.5","28518.75"
"35","40","37.5","33","32.0388349514563","58.252427184466","1237.5","46406.25"
"40","45","42.5","23","22.3300970873786","80.5825242718447","977.5","41543.75"
"45","50","47.5","17","16.504854368932","97.0873786407767","807.5","38356.25"
"50","55","52.5","3","2.9126213592233","100","157.5","8268.75"
"55","60","57.5","0","0","100","0","0"
"60","65","62.5","0","0","100","0","0"
"65","70","67.5","0","0","100","0","0"
"70","75","72.5","0","0","100","0","0"
"75","80","77.5","0","0","100","0","0"
"80","85","82.5","0","0","100","0","0"
"85","90","87.5","0","0","100","0","0"
"90","95","92.5","0","0","100","0","0"
"-","Total","-","103","100","-","4057.5","163093.75"
