"Var1","Freq.x","Freq.y","Var1","Freq.x","Freq.y","Var1","Freq.x","Freq.y"
"(0,5]",0,0,"(0,5]",0,0,"(0,5]",0,0
"(5,10]",1,0,"(5,10]",0,0,"(5,10]",0,0
"(10,15]",0,0,"(10,15]",0,0,"(10,15]",0,0
"(15,20]",0,0,"(15,20]",0,0,"(15,20]",0,0
"(20,25]",0,0,"(20,25]",0,0,"(20,25]",0,0
"(25,30]",1,0,"(25,30]",0,0,"(25,30]",0,0
"(30,35]",7,2,"(30,35]",0,0,"(30,35]",17,27
"(35,40]",13,6,"(35,40]",7,4,"(35,40]",27,33
"(40,45]",19,20,"(40,45]",14,8,"(40,45]",23,23
"(45,50]",38,50,"(45,50]",38,29,"(45,50]",18,17
"(50,55]",40,38,"(50,55]",60,51,"(50,55]",7,3
"(55,60]",36,48,"(55,60]",38,44,"(55,60]",6,0
"(60,65]",35,34,"(60,65]",27,39,"(60,65]",1,0
"(65,70]",11,21,"(65,70]",27,19,"(65,70]",1,0
"(70,75]",5,10,"(70,75]",9,11,"(70,75]",0,0
"(75,80]",3,2,"(75,80]",8,4,"(75,80]",0,0
"(80,85]",2,1,"(80,85]",2,0,"(80,85]",0,0
"(85,90]",1,1,"(85,90]",3,1,"(85,90]",0,0
"(90,95]",0,1,"(90,95]",0,0,"(90,95]",0,0
